[0] 1:48	Heat. Hey, Heat.
[1856] 1:39:19	it sticks to metal, you can use it as a
[1857] 1:39:21	printing press.
[1858] 1:39:23	Yeah. Mama says iron gall ink is still a
[1859] 1:39:26	thing. Yeah, it is. Yeah. Yeah.
[1860] 1:39:28	Absolutely. Yeah. Still a thing.
[1861] 1:39:32	So,
[1862] 1:39:37	so yeah. So, that's G.
[1863] 1:39:41	Okay.
[1864] 1:39:44	Gulling is Ging. Chat Ray back with the
[1865] 1:39:47	bun for the win.
[1866] 1:39:51	Okay, move on here to the next super
[1867] 1:39:54	chat. But yeah, this is cool stuff. I
[1868] 1:39:56	mean, it's it's it's uh these these
[1869] 1:39:58	ancient um get out of town. Well,
[1870] 1:40:02	actually, interestingly enough, when
[1871] 1:40:03	they prepared G ink, printers would do
[1872] 1:40:07	this. This is another little little
[1873] 1:40:09	tidbit was they would have ink parties.
[1874] 1:40:14	Okay. The printing press, his family and
[1875] 1:40:16	his employees and their families would
[1876] 1:40:19	go on a picnic way out in the
[1877] 1:40:22	countryside
[1878] 1:40:25	and they would set up the pot and they
[1879] 1:40:27	would make the gullink because it stank.
[1880] 1:40:33	But for the employees, this was a day
[1881] 1:40:35	off. It would take four hours to prepare
[1882] 1:40:38	this ink.
[1883] 1:40:40	Okay.
[1884] 1:40:43	Oh yeah, they had a grand old time. This
[1885] 1:40:46	the the printers would would make this
[1886] 1:40:48	like a company holiday.
[1887] 1:40:51	So
[1888] 1:40:54	So uh yeah, this this would they would
[1889] 1:40:56	go out in the country, they would make
[1890] 1:40:57	the ink and then you know they would
[1891] 1:41:01	come back with a full pot of ink that
[1892] 1:41:03	they would then use for their printing
[1893] 1:41:05	presses.
[1894] 1:41:07	So,
[1895] 1:41:10	so yeah, it was it's it was it the
[1896] 1:41:12	production of iron gall ink was a really
[1897] 1:41:15	cool thing and had a a lot of of
[1898] 1:41:17	cultural attachment aside again and the
[1899] 1:41:20	Romans used it as a poison. They used it
[1900] 1:41:22	as a poison. So,
[1901] 1:41:29	all right. Uh, next one here. Let's go
[1902] 1:41:31	next. super chat.
[1903] 1:41:36	It's from BC4YT for $5 Australian. Thank
[1904] 1:41:39	you for the super chat. I had someone
[1905] 1:41:41	tried to argue that the guards were
[1906] 1:41:43	Jewish guards, but I don't think the the
[1907] 1:41:45	Greek supports this thoughts. Oh, no,
[1908] 1:41:47	no, they were not. They were not Jewish
[1909] 1:41:49	guards. Uh they were assigned by Pilate.
[1910] 1:41:52	So, so they would not have been Jewish
[1911] 1:41:54	guards. Um the Jewish guards are
[1912] 1:41:57	restricted to the temple.
[1913] 1:42:00	Okay. So that was the Jewish guard's
[1914] 1:42:03	duties was really in the temple
[1915] 1:42:04	precinct.
[1916] 1:42:06	Their duties and their authority did not
[1917] 1:42:08	extend beyond that
[1918] 1:42:11	to assign guards to another position. It
[1919] 1:42:14	would have they would have had to have
[1920] 1:42:15	been Roman. They would had to have been
[1921] 1:42:17	Roman. So
[1922] 1:42:22	>> Oh yeah. You wouldn't had temple guards,
[1923] 1:42:24	you know, hanging around a cemetery
[1924] 1:42:26	anyway. I mean, the chance of ritual
[1925] 1:42:29	impurity is so high that Yeah. I mean,
[1926] 1:42:33	yeah, they lose their jobs
[1927] 1:42:36	or at least have to go through a very
[1928] 1:42:38	complicated purification ritual. So,
[1929] 1:42:47	uh, Ryan Con, who arrested Jesus then?
[1930] 1:42:49	Was it the Roman guards that helped?
[1931] 1:42:50	Yes, it was Roman guards that helped. It
[1932] 1:42:52	was it was Jews who led a detachment of
[1933] 1:42:56	Roman guards. Okay. So,
[1934] 1:43:00	um it would have it would have been
[1935] 1:43:02	probably a small number of Roman guards,
[1936] 1:43:04	probably, you know, 10 or 20,
[1937] 1:43:08	just enough to to make sure nothing bad
[1938] 1:43:10	went down.
[1939] 1:43:13	So, um but again, there were there were
[1940] 1:43:16	Jewish guards, but they again they were
[1941] 1:43:18	sort of confined to the temple precinct.
[1942] 1:43:20	So,
[1943] 1:43:24	Andrew Graham. Well, at least the chosen
[1944] 1:43:26	got that right. Laugh out loud.
[1945] 1:43:29	Hey, a broken clock is right twice a
[1946] 1:43:31	day, right?
[1947] 1:43:35	[laughter]
[1948] 1:43:36	All right, let's move on to the next one
[1949] 1:43:37	here.
[1950] 1:43:46	BC4YT for $2 Australian.
[1951] 1:43:50	How dead was Joe Jonah?
[1952] 1:43:53	Dead. Dead. Dead. Dead. Dead. Dead.
[1953] 1:43:57	Dead. Osiris. Dead.
[1954] 1:44:01	That's how dead Jonah was.
[1955] 1:44:04	Let's look at uh Jonah chapter 2 because
[1956] 1:44:08	this
[1957] 1:44:10	is
[1958] 1:44:12	where we see the death of Jonah.
[1959] 1:44:16	Now, when I find Jonah, here there's
[1960] 1:44:18	Jonah. Okay.
[1961] 1:44:21	This is a kasm. There's a kiastic
[1962] 1:44:25	structure here in in in Jonah.
[1963] 1:44:29	And there's an inflection point
[1964] 1:44:33	that that happens midway through. Okay?
[1965] 1:44:37	So, you got to be care. You got to be
[1966] 1:44:39	cognizant of this. Okay?
[1967] 1:44:43	So, Jonah chapter 2 verse one.
[1968] 1:44:47	Then Jonah prayed to the Lord God his
[1969] 1:44:50	the Lord his God from the stomach of the
[1970] 1:44:52	fish. He's dying at this point. And he
[1971] 1:44:54	said, "I called out of my distress to
[1972] 1:44:56	the Lord, and he answered me, I cried
[1973] 1:44:59	for help from the depth of Shaol."
[1974] 1:45:02	Okay, that's the grave. Thou did hear my
[1975] 1:45:06	voice. Now, a lot of people make a big
[1976] 1:45:07	deal of the depth of shale. He's not
[1977] 1:45:11	there yet,
[1978] 1:45:13	but he's going to be. Okay.
[1979] 1:45:17	He's giving you sort of a a
[1980] 1:45:20	foreshadowing of what's coming in this
[1981] 1:45:22	prayer.
[1982] 1:45:24	Verse three. Thou did cast me into the
[1983] 1:45:26	deep into the heart of the seas and
[1984] 1:45:29	current the current engulf me. All thy
[1985] 1:45:32	breakers and billows passed over me.
[1986] 1:45:35	Okay, so he's way down below the waves.
[1987] 1:45:40	So I said, I have been expelled from thy
[1988] 1:45:42	sight. Nevertheless, I will look again
[1989] 1:45:44	toward thy holy temple. Water encompass
[1990] 1:45:48	me unto the point of death. El uh El
[1991] 1:45:53	nephesh, the point of life. That's what
[1992] 1:45:56	it really says. Okay. The point of death
[1993] 1:45:58	here is is a kind of a crap translation.
[1994] 1:46:03	It's it's to the point of his life.
[1995] 1:46:08	The deep great deep engulfed me. weeds
[1996] 1:46:12	were wrapped around my head. Okay,
[1997] 1:46:16	this is the tomb, the depth. Okay,
[1998] 1:46:20	now this is where he dies in in the next
[1999] 1:46:23	couple verses. I descended to the roots
[2000] 1:46:26	of the mountains. Now, you have to be
[2001] 1:46:28	really aware of of of Israelite
[2002] 1:46:32	cosmology here, okay?
[2003] 1:46:36	Um the the the the ancient Israelites
[2004] 1:46:39	thought that you had the land on top,
[2005] 1:46:43	the sky above, of course, the sky and
[2006] 1:46:45	the firmament above, then the earth,
[2007] 1:46:48	then the sea,
[2008] 1:46:50	the roots of the mountain extending
[2009] 1:46:52	below the sea. Okay? And under the roots
[2010] 1:46:56	of the mountains is Shaol.
[2011] 1:47:01	That's Shaol. That's the grave. That's
[2012] 1:47:03	where all the dead people go.
[2013] 1:47:07	Okay.
[2014] 1:47:09	The earth with its bars was around me
[2015] 1:47:12	forever.
[2016] 1:47:15	Okay. The idea here is at chill there's
[2017] 1:47:19	bars.
[2018] 1:47:21	Okay. The bars had closed.
[2019] 1:47:26	That's the point of death.
[2020] 1:47:31	This is also the inflection point.
[2021] 1:47:35	Okay. So he descends to Shaol the roots
[2022] 1:47:39	of the mountains. The earth with sparss
[2023] 1:47:42	were around me forever.
[2024] 1:47:44	That's the point of death.
[2025] 1:47:48	But at the but at the inflection point
[2026] 1:47:51	it says but thou hast brought up my life
[2027] 1:47:55	from the pit.
[2028] 1:47:58	There's only one pit here. That's Shaol.
[2029] 1:48:03	Oh my. Oh Lord my God.
[2030] 1:48:06	While I was fainting away, I remembered
[2031] 1:48:08	the Lord and my prayer came to thee into
[2032] 1:48:11	thy holy temple. This is the celestial
[2033] 1:48:14	temple. This is the heavenly temple.
[2034] 1:48:15	This is not the earthly temple. Okay? So
[2035] 1:48:18	he's praying to God.
[2036] 1:48:22	Those who regard vain idols forsake
[2037] 1:48:24	their faithfulness. But I will sacrifice
[2038] 1:48:26	to thee with a voice of thanksgiving.
[2039] 1:48:29	That which I have vowed to pay, I will
[2040] 1:48:31	pay. Salvation is from the Lord.
[2041] 1:48:35	Then the Lord commanded the fish, and it
[2042] 1:48:37	vomited Jonah up onto the dry land.
[2043] 1:48:39	Okay. So,
[2044] 1:48:43	how dead was Jonah? He was dead. Dead.
[2045] 1:48:47	Dead.
[2046] 1:48:50	Being locked in sh is as dead as you
[2047] 1:48:52	get.
[2048] 1:48:54	So,
[2049] 1:48:57	um,
[2050] 1:48:59	Scott says, "Shale Tades near-death
[2051] 1:49:01	experience, early Bronze Age edition."
[2052] 1:49:03	No, no, no. Not near death. All dead.
[2053] 1:49:07	Okay. The The thing with a near-death
[2054] 1:49:10	experience is you're not really dead.
[2055] 1:49:13	You're only You're only dying.
[2056] 1:49:16	So, near-death experiences aren't really
[2057] 1:49:21	true death.
[2058] 1:49:23	You're not actually in shaol with a
[2059] 1:49:25	near-death experience.
[2060] 1:49:27	If you're if you're in shale, you're
[2061] 1:49:29	dead.
[2062] 1:49:32	Yeah. Dead like Lazarus.
[2063] 1:49:34	Yeah. That's exactly it. Yeah. You're
[2064] 1:49:36	dead like Lazarus.
[2065] 1:49:41	So
[2066] 1:49:43	that's the sort of death we're talking
[2067] 1:49:45	about here is dead like Lazarus.
[2068] 1:49:53	Uh, is it possible asks, "Is it possible
[2069] 1:49:56	that Jonah is just using favored
[2070] 1:49:57	language though? I heard that argument."
[2071] 1:49:59	Yeah, a lot of people use that argument.
[2072] 1:50:01	It doesn't make any sense, though. Cuz
[2073] 1:50:03	he's in the belly of a fish
[2074] 1:50:06	stomach.
[2075] 1:50:08	>> I mean, there's no air in the belly of a
[2076] 1:50:09	fish. I'm sorry. There just there just
[2077] 1:50:11	isn't any. you know, he's it's just,
[2078] 1:50:17	you know,
[2079] 1:50:19	>> you can't hold your breath that long.
[2080] 1:50:22	You can't hold your breath days. Okay.
[2081] 1:50:26	And whales do not do not hold. I mean, I
[2082] 1:50:29	I heard some idiot on um
[2083] 1:50:34	on Shawn McDow's channel basically said
[2084] 1:50:37	that a that a whale could take a big
[2085] 1:50:40	gulp of air and hold a huge pocket of
[2086] 1:50:44	air
[2087] 1:50:46	for Jonah to breathe in.
[2088] 1:50:49	Well, if if a whale did that, it's not
[2089] 1:50:51	submerging.
[2090] 1:50:55	They eat underwater. Yeah. And And this
[2091] 1:50:57	was a blaine a boline whale.
[2092] 1:51:00	This guy was saying that this boline
[2093] 1:51:02	whale had this capacity that it could
[2094] 1:51:04	could could open his mouth and like a
[2095] 1:51:06	balloon hold air.
[2096] 1:51:11	It probably killed a whale. Absolutely.
[2097] 1:51:13	It's [laughter] like like crazy. It's
[2098] 1:51:16	crazy.
[2099] 1:51:18	I mean,
[2100] 1:51:20	if a whale did that, first of all, it's
[2101] 1:51:22	not submerging
[2102] 1:51:24	because of the buoyancy issue.
[2103] 1:51:33	>> All the waves.
[2104] 1:51:35	>> Yeah. Yeah. All the waves are passing
[2105] 1:51:36	over him. So, he had to have been down
[2106] 1:51:40	in the deep with the fish. Okay. The
[2107] 1:51:44	fish took him down to the bottom.
[2108] 1:51:47	Okay.
[2109] 1:51:50	So,
[2110] 1:51:51	so no, he's he's not he's not near dead.
[2111] 1:51:56	It's not figurative language.
[2112] 1:51:59	It's
[2113] 1:52:02	it's just
[2114] 1:52:04	oh crazy.
[2115] 1:52:07	Uh keeps learning. Do whales still go in
[2116] 1:52:10	the Mediterranean Sea occasionally, but
[2117] 1:52:14	not a lot of them. Um but that's because
[2118] 1:52:16	of whaling. That's whaling has has has
[2119] 1:52:19	really reduced the number of whales in
[2120] 1:52:21	general. Um but there are there were
[2121] 1:52:24	whales in the Mediterranean.
[2122] 1:52:26	We do have examples of uh in say um
[2123] 1:52:33	Egyptian um
[2124] 1:52:36	uh
[2125] 1:52:38	um
[2126] 1:52:40	offering dockets, offering lists where
[2127] 1:52:43	it talks about whale parts.
[2128] 1:52:46	So So whales were in the Mediterranean.
[2129] 1:52:52	>> Which one?
[2130] 1:52:54	[laughter]
[2131] 1:52:56	the Camila part.
[2132] 1:52:57	>> Yeah.
[2133] 1:52:57	>> According to the Bible scholars Abbott
[2134] 1:52:59	and Costello, he was in the belly of the
[2135] 1:53:01	whale sitting on a stool selling crab
[2136] 1:53:04	apples for a nickel.
[2137] 1:53:07	Could be. Could be.
[2138] 1:53:10	[laughter]
[2139] 1:53:17	EPM versus DOS 20,000 leagues under the
[2140] 1:53:20	sea in the time of Jonah theory. Yeah.
[2141] 1:53:27	Jack Rare says, "Sign of Jonah was dead
[2142] 1:53:29	and came back." Yeah, that's the sign of
[2143] 1:53:30	Jonah. That's exactly the sign of Jonah.
[2144] 1:53:35	It wouldn't work if it if Jonah wasn't
[2145] 1:53:39	dead.
[2146] 1:53:41	You know, this is one of the things I I
[2147] 1:53:43	mean, why are we so afraid to say that
[2148] 1:53:46	people came back to life in other places
[2149] 1:53:49	in the Bible other than Christ? I don't
[2150] 1:53:52	get this this fear. Um the fact is we do
[2151] 1:53:56	see for example um was it it was I think
[2152] 1:54:00	it was either Elisha or Elijah who
[2153] 1:54:03	brought back the son the dead son of
[2154] 1:54:08	>> the widow's son. Yeah. Yeah. Um, you
[2155] 1:54:12	know, the Apostle Paul brings back to
[2156] 1:54:15	life uh a young man who fell out the
[2157] 1:54:17	window and broke his neck.
[2158] 1:54:21	Don't sleep during Don't sleep in church
[2159] 1:54:23	during a service.
[2160] 1:54:26	Yeah. So, you know, why are we afraid
[2161] 1:54:31	to say that God brings back people from
[2162] 1:54:34	the dead,
[2163] 1:54:36	not just Christ? It's just Yeah. Lazarus
[2164] 1:54:41	is another example. He's dead dead.
[2165] 1:54:45	He's stinky dead.
[2166] 1:54:48	I mean,
[2167] 1:54:50	>> new dead. Stinky dead.
[2168] 1:54:54	[laughter]
[2169] 1:54:55	Yeah.
[2170] 1:54:58	Yeah. Pui says, "Good point. Why are so
[2171] 1:55:00	many Christians desperately attached to
[2172] 1:55:03	an anti- miraculous bias when it comes
[2173] 1:55:06	to Jonah? I don't understand it. I
[2174] 1:55:11	really don't because the text is
[2175] 1:55:15	I mean if you understand the poetics of
[2176] 1:55:17	this text and and say the myth um sorry
[2177] 1:55:21	the um the context of it you can't
[2178] 1:55:24	mistake it. But that people are just
[2179] 1:55:28	afraid
[2180] 1:55:30	to to come to this conclusion that Jonah
[2181] 1:55:32	was dead.
[2182] 1:55:35	I mean I heard a I mean what was his
[2183] 1:55:36	name now? um a Catholic ap there's a
[2184] 1:55:40	Catholic apologist who did an entire
[2185] 1:55:42	video on on that Jonah wasn't really
[2186] 1:55:46	dead. Like why why is this why is this a
[2187] 1:55:50	problem?
[2188] 1:55:53	Um
[2189] 1:55:55	Kami Aduce says I think in evangelical
[2190] 1:55:57	spaces they prefer hyperliteral reading
[2191] 1:55:59	of the text. So since the text doesn't
[2192] 1:56:02	explicitly say they died the Yeah, but
[2193] 1:56:04	you see this in Catholic too.
[2194] 1:56:05	>> But it does. No, it wasn't Capturing
[2195] 1:56:07	Christianity. It was um the guy who does
[2196] 1:56:10	the um paranormal stuff. Um what's his
[2197] 1:56:14	name now? Um
[2198] 1:56:16	can't remember his name right now. He
[2199] 1:56:18	does um he does a lot of par paranormal
[2200] 1:56:21	stuff. So um and he works for um
[2201] 1:56:25	Catholic Answers.
[2202] 1:56:27	Um he's on he's he's on Capturing
[2203] 1:56:30	Christianity's board and it's not pints
[2204] 1:56:33	with Aquinus. It's um
[2205] 1:56:37	what is his name?
[2206] 1:56:40	Oh, anyhow, I mean it's just
[2207] 1:56:44	>> the point is
[2208] 1:56:45	>> he wears a cowboy hat.
[2209] 1:56:49	Yeah. Um
[2210] 1:56:52	I think I've described him as much as I
[2211] 1:56:54	can, but we'll go on here. But yeah, I
[2212] 1:56:57	mean he's he's he works for Catholic
[2213] 1:56:59	Answers. Jimmy Akens. That's it. Thank
[2214] 1:57:01	you. You know, Jimmy Akens. Jimmy Akens
[2215] 1:57:04	did a full hour video basically trying
[2216] 1:57:08	to justify that this was metaphorical
[2217] 1:57:10	language that Jonah didn't really die.
[2218] 1:57:13	It's like no
[2219] 1:57:15	>> usually
[2220] 1:57:19	>> well he doesn't he works for for
[2221] 1:57:22	Catholic Answers. So yeah.
[2222] 1:57:28	So I I just don't understand this
[2223] 1:57:31	reticence
[2224] 1:57:33	to
[2225] 1:57:35	uh this this I mean it's it's a fight. I
[2226] 1:57:37	mean I mean it's a real fight to to to
[2227] 1:57:42	point out to people that yeah Jonah died
[2228] 1:57:45	here and that's the point. Point is he
[2229] 1:57:48	died and God brought him back
[2230] 1:57:51	for his purposes. So
