[0] 0:24	Hey. Hey. Hey.
[3247] 2:50:30	something like that. It's pretty small.
[3248] 2:50:32	It's very small.
[3249] 2:50:34	>> It basically allows it sermons.
[3250] 2:50:38	>> Yeah, it allows it for sermons to be
[3251] 2:50:40	written, but it really doesn't allow it
[3252] 2:50:41	for commentaries.
[3253] 2:50:54	The Canam Marcy says, "The International
[3254] 2:50:56	Standard Version ISV seems to be only
[3255] 2:50:58	digital, but there are hard copies of
[3256] 2:50:59	the New Testament. I've tried to get
[3257] 2:51:01	one, but never had any luck. And even if
[3258] 2:51:03	it is only digital, it might still be
[3259] 2:51:05	copyright.
[3260] 2:51:06	You know, just because it's digital
[3261] 2:51:08	doesn't mean it's free either.
[3262] 2:51:10	So, you got to be really careful with
[3263] 2:51:11	that." That's another one of those those
[3264] 2:51:13	gotchas.
[3265] 2:51:15	If it's digital does not mean it's free.
[3266] 2:51:19	It can be totally digital, totally
[3267] 2:51:22	published online, and still be
[3268] 2:51:25	copyrighted.
[3269] 2:51:27	So, you you got to be incredibly careful
[3270] 2:51:31	about that.
[3271] 2:51:40	Harry Stark says, "What are good public
[3272] 2:51:42	domain translations for in English for
[3273] 2:51:44	the Bible?" Um, I think the American
[3274] 2:51:48	Standard Version is now out of
[3275] 2:51:50	copyright. It's kind of old, but um,
[3276] 2:51:53	that's the base they used for the NASB.
[3277] 2:51:55	Um, I think that is available
[3278] 2:51:59	out of copyright. I think the revised
[3279] 2:52:02	standard version, the original is out of
[3280] 2:52:04	copyright. It was okay. Not great. Uh,
[3281] 2:52:12	but always check the license.
[3282] 2:52:14	Always check the license. Always check
[3283] 2:52:17	the copyright date.
[3284] 2:52:20	Okay? Just just do your due diligence
[3285] 2:52:25	because I'm not a copyright lawyer. I
[3286] 2:52:28	can't tell you what ones are absolutely
[3287] 2:52:29	out of copyright and where they're cop
[3288] 2:52:31	out of copyright. And I could be wrong.
[3289] 2:52:34	And if I'm wrong, you can get sued.
[3290] 2:52:37	Don't want that to happen. So do your
[3291] 2:52:39	diligence. Be do diligence before using
[3292] 2:52:42	any version.
[3293] 2:52:44	And the time to do it is before you send
[3294] 2:52:48	it to the publisher.
[3295] 2:52:50	>> Well, before you start writing.
[3296] 2:52:51	>> Before you start writing. Yeah.
[3297] 2:52:53	>> If you're doing a commentary, that's
[3298] 2:52:55	first thing you should do.
[3299] 2:52:58	>> Get a usable translation. It's going to
[3300] 2:53:00	be
[3301] 2:53:02	and it doesn't mean
[3302] 2:53:05	you can't
[3303] 2:53:09	a better.
[3304] 2:53:12	Harry Stark goes, "Why would even people
[3305] 2:53:14	use the KJV when there's the new KJV?"
[3306] 2:53:17	Copyright.
[3307] 2:53:19	There's royalties on the new KJV.
[3308] 2:53:23	Um, let me see if I can find what the
[3309] 2:53:26	license statement is for the new KJV.
[3310] 2:53:47	Yes, it's protected by Harper Collins.
[3311] 2:53:50	Good luck.
[3312] 2:53:53	Here here's the here is the um license
[3313] 2:53:57	for the for the NKJV. Okay. Um
[3314] 2:54:03	you can quote 500 verses or less in
[3315] 2:54:05	total.
[3316] 2:54:08	You cannot quote any more than 25%
[3317] 2:54:14	of the total text of your book and it
[3318] 2:54:17	does not count for more than 50% of an
[3319] 2:54:19	entire book in the Bible.
[3320] 2:54:21	It is not being quoted in a commentary
[3321] 2:54:24	or other biblical reference. So if
[3322] 2:54:27	you're writing a commentary, it's off
[3323] 2:54:28	the table.
[3324] 2:54:30	Okay.
[3325] 2:54:32	Um the scriptur is probably cited with a
[3326] 2:54:34	specific cop. So, it's it's rigorously
[3327] 2:54:39	defended by Harper Collins. Okay, that's
[3328] 2:54:43	why you people don't use it.
[3329] 2:54:46	Now, from what I've been told,
[3330] 2:54:51	and I don't know if this is still true,
[3331] 2:54:54	uh the licenses for the NKJV are less
[3332] 2:54:59	than the KJV. Okay.
[3333] 2:55:01	um
[3334] 2:55:03	uh in England. Anyway, um the NKJV is a
[3335] 2:55:08	very inexpensive
[3336] 2:55:11	uh Bible to license, which is why you
[3337] 2:55:13	find it in all sorts of commentaries.
[3338] 2:55:16	Okay? The NKJV is one of the cheapest
[3339] 2:55:19	modern translations to to license.
[3340] 2:55:24	That's why people use it. It's because
[3341] 2:55:27	it's inexpensive to license. It's not
[3342] 2:55:30	free though. It's not free.
[3343] 2:55:36	And it's owned by Harper Collins.
[3344] 2:55:39	Harper Collins will protect its
[3345] 2:55:41	copyright.
[3346] 2:55:50	Well, what's the license on the uh Tony
[3347] 2:55:52	G says just use the Good News Bible.
[3348] 2:55:54	What's the license on the Good News
[3349] 2:55:55	Bible?
[3350] 2:56:13	It's pretty much the same.
[3351] 2:56:16	Yeah. Um
[3352] 2:56:19	uh it's copyright good news translation
[3353] 2:56:21	is copyrighted by um the American Bible
[3354] 2:56:25	Society.
[3355] 2:56:27	Limit of 500 verses. No more does not
[3356] 2:56:30	exceed more than 25% of your work.
[3357] 2:56:32	Cannot do more than 500% of a or sorry
[3358] 2:56:37	more than 50% of a single complete book.
[3359] 2:56:40	And
[3360] 2:56:43	only all that is only if the work is
[3361] 2:56:46	non-commercial.
[3362] 2:56:51	though you can't use it in in
[3363] 2:56:54	commentaries or textbooks or devotionals
[3364] 2:56:58	or anything like that.
[3365] 2:57:01	So if you use it in published book you
[3366] 2:57:03	are hosed.
[3367] 2:57:07	So that's why you don't use the Good
[3368] 2:57:09	News Bible.
[3369] 2:57:24	So, um, yeah, you just have to you all I
[3370] 2:57:29	can say is if you ever do, uh, a book on
[3371] 2:57:33	on the Bible, you know, you really do
[3372] 2:57:36	have to look up the copyright.
[3373] 2:57:39	Now
[3374] 2:57:43	um yeah Danny Dement says Crossway has a
[3375] 2:57:47	form to request permission to site more
[3376] 2:57:48	than the 500 SEC but no price is listed
[3377] 2:57:51	and they never do price this the price
[3378] 2:57:54	uh price is done at the negotiation
[3379] 2:57:56	level at basically at the publishing
[3380] 2:57:58	level for the ESV. So, none of them will
[3381] 2:58:01	tell you the prices. None of them will
[3382] 2:58:03	tell you the prices,
[3383] 2:58:06	but there will be a price. Now, the best
[3384] 2:58:10	way to do this, if you're smart, you're
[3385] 2:58:13	smart. This is how you do this. Best way
[3386] 2:58:15	to do it,
[3387] 2:58:18	you pick a publisher that already has a
[3388] 2:58:20	life has a has a um Bible in their
[3389] 2:58:23	copyright inventory
[3390] 2:58:25	and use their version.
[3391] 2:58:29	I've had to do that before where I was
[3392] 2:58:32	um like Lexomm Press. I had I was doing
[3393] 2:58:35	something for Lexom Press once and I had
[3394] 2:58:38	to use the TNIV
[3395] 2:58:40	today's NIV because they had the
[3396] 2:58:42	copyright.
[3397] 2:58:47	So if you use the copy the the the
[3398] 2:58:50	viable version that the publisher
[3399] 2:58:54	already owns,
[3400] 2:58:56	you can oftent times get that um
[3401] 2:59:00	copyright reduced or w uh those those
[3402] 2:59:03	license fees reduced or waved entirely.
[3403] 2:59:07	But that's something between you and the
[3404] 2:59:09	publisher. But you got to make sure you
[3405] 2:59:11	you you've done that footwork first.
[3406] 2:59:17	Tony G
[3407] 2:59:19	all translated back from the revised
[3408] 2:59:22	Cllingon.
[3409] 2:59:24	Oh.
[3410] 2:59:29	>> Oh yeah. There's people who are
[3411] 2:59:30	translating the Bible into the Cllingon.
[3412] 2:59:32	There are people who are doing it.
[3413] 2:59:35	I don't know how far they've gotten with
[3414] 2:59:37	it, but I know people who are doing it.
[3415] 2:59:42	Heck, I thought about doing an Egyptian
[3416] 2:59:43	version of the Old Testament
[3417] 2:59:48	at least theolog
[3418] 2:59:51	>> It would get certain words theologically
[3419] 2:59:52	correct. Yeah. But
[3420] 2:59:55	uh
[3421] 2:59:58	still love when they translated uh Peter
[3422] 3:00:00	Rabbit into Egyptian.
[3423] 3:00:04	That was cool. Yeah, that was done by
[3424] 3:00:07	the uh British Museum. They they
[3425] 3:00:08	translated Peter Rabbit into middle
[3426] 3:00:10	Egyptian. That was totally cool.
[3427] 3:00:15	So So,
[3428] 3:00:19	okay. Uh that is the last question we
[3429] 3:00:21	have of the night here and I don't see
[3430] 3:00:23	any more discussions. Uh it's 11 p.m.
[3431] 3:00:28	I think we're going to call it an early
[3432] 3:00:29	night. What do you say?
[3433] 3:00:33	Is the community good?
[3434] 3:00:35	>> I think is the community good with us
[3435] 3:00:36	calling it an early night or do you want
[3436] 3:00:38	to drag this out a little longer? Not 16
[3437] 3:00:41	hours longer.
[3438] 3:00:44	Okay. Not 16 hours.
[3439] 3:00:48	>> Lord's
[3440] 3:00:52	I would like
[3441] 3:00:55	Lord's Prayer. Prayer and Cllingon is
[3442] 3:00:57	awesome. Okay.
[3443] 3:00:59	Uh Jack Ray says, "Thank you for the
[3444] 3:01:01	stream." Well, thank you very much for
[3445] 3:01:02	joining us tonight and and generally gen
[3446] 3:01:05	generously supporting the stream.
[3447] 3:01:09	I I think everyone can is letting us go
[3448] 3:01:11	here. They're taking mercy on us. How
[3449] 3:01:14	can this happen? This is
[3450] 3:01:16	>> incoherent.
[3451] 3:01:18	That's why.
[3452] 3:01:25	>> Oh boy. CBM versus DOS for $2. Thank you
[3453] 3:01:28	for the super chat. He says, "Good
[3454] 3:01:30	night." All right. So, we'll we'll call
[3455] 3:01:32	it a night here then. I think this is
[3456] 3:01:34	the first time we've gone under gone for
[3457] 3:01:37	only three hours
[3458] 3:01:39	uh since the we started doing these live
[3459] 3:01:41	streams. Okay. So, anyway, I want to
[3460] 3:01:44	thank you all for joining us tonight.
[3461] 3:01:46	We're glad you can make it. Um uh
[3462] 3:01:49	despite my condition of being completely
[3463] 3:01:52	punch, drunk, exhausted. We so
[3464] 3:01:54	appreciate you guys for bringing your
[3465] 3:01:56	questions and enjoying
[3466] 3:01:59	joining us. I'm having trouble getting
[3467] 3:02:02	through this. I want to thank you guys
[3468] 3:02:04	who uh support us through your super
[3469] 3:02:06	chats, through the PayPal contributions,
[3470] 3:02:09	through Patreon, and through uh YouTube
[3471] 3:02:11	memberships. You guys help us to make
[3472] 3:02:14	the difference here. We also want to
[3473] 3:02:16	thank those who who um view our videos,
[3474] 3:02:20	hit that like and subscribe button and
[3475] 3:02:22	share. uh the URL with other social
[3476] 3:02:26	media. And finally, we want to thank
[3477] 3:02:28	everybody who does who posts uh reviews
[3478] 3:02:32	of our books on Amazon. Really, really
[3479] 3:02:36	important for us. If you haven't done so
[3480] 3:02:38	already, please do so. We really need
[3481] 3:02:41	that and we repeat it over and over
[3482] 3:02:44	again because we have such a dire need
[3483] 3:02:47	for those book reviews. So, with that
[3484] 3:02:49	said, thank you very much for
[3485] 3:02:52	>> Don't worry, we'll make up.
[3486] 3:02:55	>> Dude, don't worry. We'll make up for it
[3487] 3:02:57	this week or next week.
[3488] 3:03:00	Sounds like a threat or a promise. I
[3489] 3:03:02	don't know. So, anyway, thank you very
[3490] 3:03:04	much for joining us tonight. We're glad
[3491] 3:03:06	you could be with us and we'll see you
[3492] 3:03:07	next time on Ancient Egypt and the
[3493] 3:03:09	Bible. Good night, everyone.
