[0] 0:19	Oh,
[1810] 1:39:07	wouldn't it possible to Christianize
[1811] 1:39:10	meditation than do it? Um you can
[1812] 1:39:14	westernize uh Christian meditation, but
[1813] 1:39:17	it's um
[1814] 1:39:20	it's not the same and it doesn't take to
[1815] 1:39:23	physical exercise
[1816] 1:39:25	um in the same way as say eastern
[1817] 1:39:28	meditation. So it might not be as easy
[1818] 1:39:31	as you think. So
[1819] 1:39:34	there is there is a Christian meditation
[1820] 1:39:36	already
[1821] 1:39:38	which has been practiced in monasteries
[1822] 1:39:40	for thousands of years.
[1823] 1:39:44	But
[1824] 1:39:45	um something about being in the Navy.
[1825] 1:39:50	Well yeah there have been a few uh few
[1826] 1:39:53	apologists recently that have joined the
[1827] 1:39:54	Navy.
[1828] 1:40:10	Okay.
[1829] 1:40:14	So, let's move on. The next one here
[1830] 1:40:20	is from Aat Ministries.
[1831] 1:40:24	How does uh Jeremiah teach the
[1832] 1:40:26	sacrificial system? Uh, how do I answer
[1833] 1:40:29	that? Uh, that's not an easy question to
[1834] 1:40:32	answer
[1835] 1:40:34	because
[1836] 1:40:37	it's
[1837] 1:40:40	it's not something you can sort of you'd
[1838] 1:40:42	have to Jeremiah is a big book. Okay.
[1839] 1:40:45	Um, and there's a lot of different
[1840] 1:40:47	themes going on in Jeremiah, especially
[1841] 1:40:50	the old covenant versus new covenant
[1842] 1:40:52	thing. Um Jeremiah does seem to show
[1843] 1:40:55	that the sacrificial system
[1844] 1:40:58	is a
[1845] 1:41:00	yeah Timmy or a chapter and verse that
[1846] 1:41:02	would be really helpful. But let's just
[1847] 1:41:03	take for example uh Jeremiah 31.
[1848] 1:41:06	Jeremiah 31 talks about the sacrificial
[1849] 1:41:08	system being the covering over of sin
[1850] 1:41:13	that's aggregated for forever.
[1851] 1:41:16	essentially uh you're not only
[1852] 1:41:18	responsible for your sin, but your dad's
[1853] 1:41:20	sin, your granddad's sin, your his dad's
[1854] 1:41:22	sin, Noah's sin, Adam's sin, all the way
[1855] 1:41:25	back.
[1856] 1:41:29	But he also teaches that there's a new
[1857] 1:41:31	covenant coming where that all that sin
[1858] 1:41:32	will be taken away
[1859] 1:41:34	and you'll be only responsible for your
[1860] 1:41:36	own sin.
[1861] 1:41:38	So
[1862] 1:41:39	um Jeremiah does not abolish the
[1863] 1:41:43	sacrificial system
[1864] 1:41:45	but he is sort of saying that there's
[1865] 1:41:47	going to be a change in the sacrificial
[1866] 1:41:50	system.
[1867] 1:41:52	So uh that's sort of important to keep
[1868] 1:41:54	in mind that that it's not it's not
[1869] 1:41:57	going away under Jeremiah. It's just
[1870] 1:42:00	being
[1871] 1:42:02	uh that there's going to be a new
[1872] 1:42:03	covenant that's going to bring a lot of
[1873] 1:42:05	changes to the sacrificial system. The
[1874] 1:42:07	sacrificial system was really never done
[1875] 1:42:09	away with except by uh the Romans
[1876] 1:42:13	destroying the temple in 70 AD. That's
[1877] 1:42:15	what really ended the sacrificial
[1878] 1:42:16	system.
[1879] 1:42:19	If the temple was rebuilt today, there
[1880] 1:42:21	would still be sacrifices done even
[1881] 1:42:25	under say um uh Christ's sacrifice and
[1882] 1:42:29	completed work.
[1883] 1:42:32	So, like for example, the um if somebody
[1884] 1:42:36	kept an oath, Christian could still do
[1885] 1:42:39	the oath um sacrifice. They could still
[1886] 1:42:43	do the thanksgiving sacrifice. They
[1887] 1:42:46	could do the praise offerings. There's a
[1888] 1:42:48	lot of offerings and and sacrifices that
[1889] 1:42:51	still apply to to Christians not as
[1890] 1:42:56	obligations
[1891] 1:42:58	but as as praises and and thanksgivings
[1892] 1:43:02	to the Lord. So,
[1893] 1:43:08	so um Jeremiah doesn't do away with the
[1894] 1:43:11	sacrificial system, but he is he is
[1895] 1:43:13	alluding to the fact that there will be
[1896] 1:43:15	a change as far as sacrificial system
[1897] 1:43:17	goes. So, hope that helps. Thank you for
[1898] 1:43:20	the super chat.
[1899] 1:43:36	uh keeps learning. Catholics think mass
[1900] 1:43:39	is a real sacrifice.
[1901] 1:43:42	Um
[1902] 1:43:45	yeah, I think that's a misuse of terms
[1903] 1:43:48	to be honest. Um I I know they they they
[1904] 1:43:50	think that because of their doctrine of
[1905] 1:43:52	transubstantiation.
[1906] 1:43:54	In many ways, it's putting Christ to
[1907] 1:43:56	death over and over and over again.
[1908] 1:43:59	Um,
[1909] 1:44:01	but I don't think that's what's really
[1910] 1:44:03	meant by sacrifice. Okay, sacrifice is
[1911] 1:44:07	when you take something that you really,
[1912] 1:44:10	really value
[1913] 1:44:12	and you give it up
[1914] 1:44:15	for something even more valuable. Okay,
[1915] 1:44:21	so
[1916] 1:44:23	nobody in mass is giving up Christ. At
[1917] 1:44:26	least they shouldn't be.
[1918] 1:44:28	Nobody in mass is really putting Christ
[1919] 1:44:30	to death again. At least they shouldn't
[1920] 1:44:33	be.
[1921] 1:44:35	So
[1922] 1:44:37	it's a misuse of the term sacrifice.
[1923] 1:44:40	You know when we talk about say like for
[1924] 1:44:42	example child sacrifice.
[1925] 1:44:44	You know it was the idea that you gave
[1926] 1:44:46	up your child because you really valued
[1927] 1:44:49	that child
[1928] 1:44:51	for the god to give you blessings in
[1929] 1:44:54	your harvest.
[1930] 1:44:57	Okay. So, sacrifice hurts. It's supposed
[1931] 1:45:01	to hurt.
[1932] 1:45:06	Yeah. If it doesn't hurt, it's not a
[1933] 1:45:08	sacrifice.
[1934] 1:45:15	So,
[1935] 1:45:18	um the mass is a ceremony. It's a
[1936] 1:45:21	ritual.
[1937] 1:45:24	You can argue one way or the other for
[1938] 1:45:26	transubstantiation,
[1939] 1:45:28	okay? But that doesn't make it a
[1940] 1:45:30	sacrifice.
[1941] 1:45:38	Christ dying on the cross, that was a
[1942] 1:45:41	sacrifice. Gave up his life, took the
[1943] 1:45:44	punishment for the wages of sin. Yeah,
[1944] 1:45:47	that's a sacrifice.
[1945] 1:45:50	the recapitulation of the of of his
[1946] 1:45:54	death in the mass. That's not a
[1947] 1:45:56	sacrifice.
[1948] 1:45:58	You can argue maybe it's an offering.
[1949] 1:46:00	Maybe you can offer that, but it ain't a
[1950] 1:46:03	sacrifice.
[1951] 1:46:11	Timara, in Roman Catholicism, you used
[1952] 1:46:13	to be required to fast the whole night
[1953] 1:46:14	until the mass. The Eucharist was
[1954] 1:46:17	supposed to be the first thing you had
[1955] 1:46:18	in your mouth. Now one hour of of mass
[1956] 1:46:22	is good enough for them. Okay.
[1957] 1:46:28	Scott Warren transubstantiation is not a
[1958] 1:46:30	core fixation for modern Catholic ley in
[1959] 1:46:33	the modern world. Well okay you are
[1960] 1:46:36	talking the difference between lay and
[1961] 1:46:38	cl um and ecclesiastical theologies.
[1962] 1:46:41	There are two theologies that are in any
[1963] 1:46:43	church. Every church has two theologies
[1964] 1:46:45	at least if not more.
[1965] 1:46:47	You have the uh ecclesiastical
[1966] 1:46:51	theology. That's the official teachings
[1967] 1:46:53	of the church. That's what's taught from
[1968] 1:46:55	the pulpit supposedly. That's what's in
[1969] 1:46:58	their documents and creeds and and and
[1970] 1:47:02	holy books. And every church has that.
[1971] 1:47:06	But there's also a lay theology.
[1972] 1:47:10	And lay theology is what's practiced in
[1973] 1:47:13	the pulp in the pew.
[1974] 1:47:16	and the two are really different and the
[1975] 1:47:18	two are not aware of each other.
[1976] 1:47:22	Transubstantiation is still a hardcore
[1977] 1:47:26	doctrine of the Catholic Church.
[1978] 1:47:30	The modern Catholic ley are all over the
[1979] 1:47:32	map. They're all over the map. Some
[1980] 1:47:36	believe it, some don't. Some Catholic
[1981] 1:47:38	lady are are atheists.
[1982] 1:47:41	So it's it's
[1983] 1:47:45	um Catholicism has a sharp has an
[1984] 1:47:50	extreme dichotomy between the
[1985] 1:47:53	ecclesiastical teachings of the church
[1986] 1:47:54	and the lay beliefs of the church. It's
[1987] 1:47:58	they're very different.
[1988] 1:48:01	Um and part of that is because say in
[1989] 1:48:04	Roman Catholicism if you're born into
[1990] 1:48:06	Roman Catholicism you're not actually
[1991] 1:48:08	required to believe everything. So as a
[1992] 1:48:12	result, Catholic ley aren't don't
[1993] 1:48:15	necessarily believe everything that's
[1994] 1:48:16	taught. So
[1995] 1:48:19	>> but that's
[1996] 1:48:21	>> Mhm.
[1997] 1:48:27	>> Yeah.
[1998] 1:48:28	>> Yeah.
[1999] 1:48:32	>> Yeah.
[2000] 1:48:35	>> Yeah. As as Mrs. producer just said
[2001] 1:48:38	here, if if if you convert to
[2002] 1:48:41	Catholicism, you're expected to believe
[2003] 1:48:42	everything.
[2004] 1:48:44	Okay? You're expected to affirm and
[2005] 1:48:46	believe everything.
[2006] 1:48:48	If you're born into Roman Catholicism,
[2007] 1:48:50	well,
[2008] 1:48:53	[laughter]
[2009] 1:48:54	mileage will vary.
[2010] 1:48:58	Mileage will vary a lot. And they seem
[2011] 1:49:03	okay with that. So
[2012] 1:49:07	okay
[2013] 1:49:09	move on here.
[2014] 1:49:24	Uh Francis Dob says, "My Melkite
[2015] 1:49:27	Catholic husband believes in the
[2016] 1:49:28	sacramental union rather than
[2017] 1:49:30	transubstantiation, which is popular in
[2018] 1:49:32	Eastern Catholic churches." Yeah. Um
[2019] 1:49:38	well, I mean,
[2020] 1:49:40	some Protestant churches believe in
[2021] 1:49:42	transubstantiation, too. So it's not
[2022] 1:49:44	something that's unique
[2023] 1:49:46	to um to say um Catholics, you know, um
[2024] 1:49:55	Eastern Orthodox, a lot of them believe
[2025] 1:49:57	in transubstantiation.
[2026] 1:49:59	Um
[2027] 1:50:01	it I myself don't believe in
[2028] 1:50:04	transubstantiation. I don't believe in
[2029] 1:50:06	consubstantiation either. I don't
[2030] 1:50:08	believe it's a symbol. I believe in the
[2031] 1:50:10	incomunial view. So, for me, this is
[2032] 1:50:14	sort of uh in some ways a
[2033] 1:50:19	Tempest in a teapot kind of debate. I
[2034] 1:50:21	don't think it really matters
[2035] 1:50:23	ultimately, but
[2036] 1:50:26	okay.
[2037] 1:50:31	Next one here
[2038] 1:50:33	is from
[2039] 1:50:36	Ministries.
[2040] 1:50:38	Uh Genesis 19:24. Is this showing a
[2041] 1:50:41	plural godhead in the Old Testament?
[2042] 1:50:42	Let's take a look.
[2043] 1:50:45	Genesis
[2044] 1:50:47	19 verse 24.
[2045] 1:50:57	Genesis 19 24
[2046] 1:51:02	um 23. The sun had risen over the earth
[2047] 1:51:05	when Lot came to Zor. Then the Lord
[2048] 1:51:08	rained on Sodom and Gomorrah, brimstone
[2049] 1:51:12	and fire from the Lord out of heaven.
[2050] 1:51:16	Okay.
[2051] 1:51:17	Um,
[2052] 1:51:22	that's a good question. I never viewed
[2053] 1:51:26	that verse as as having say um
[2054] 1:51:31	implications as far as the two powers in
[2055] 1:51:32	heaven. But yeah,
[2056] 1:51:36	um there's a possibility here that this
[2057] 1:51:38	is a two powers verse.
[2058] 1:51:40	And for those of you who don't know,
[2059] 1:51:42	it's the idea that the two powers
[2060] 1:51:44	theology is the idea that there's not
[2061] 1:51:47	just one Yahweh, but that there's more
[2062] 1:51:49	than one Yahweh, even though God is one.
[2063] 1:51:53	So,
[2064] 1:51:55	um like in Christian circles,
[2065] 1:51:59	Yeah. In Christian circles, we we see
[2066] 1:52:02	the father as Yahweh, the son as Yahweh,
[2067] 1:52:04	and the holy spirit as Yahweh. So we
[2068] 1:52:07	have a three powers in in heaven
[2069] 1:52:09	theology ultimately. But the old
[2070] 1:52:11	testament is well known for say um there
[2071] 1:52:14	there are views that that say that two
[2072] 1:52:17	powers uh theology in the old testament
[2073] 1:52:20	is fairly common. Um and there's
[2074] 1:52:23	actually some practicing Jews that
[2075] 1:52:25	believe in the two powers theology as
[2076] 1:52:26	well. So they just don't think it's a
[2077] 1:52:28	son. They think that that uh you have
[2078] 1:52:32	the father and you have the spirit. So
[2079] 1:52:37	um
[2080] 1:52:40	so there's there's
[2081] 1:52:42	there is some I could say I can say see
[2082] 1:52:46	where you can get a two powers theology
[2083] 1:52:48	out of this verse definitely.
[2084] 1:52:53	Um
[2085] 1:53:00	because you have Lord the Lord
[2086] 1:53:03	actively reigning on Sodom and Gomorrah
[2087] 1:53:06	brimstone and fire from the Lord out of
[2088] 1:53:11	heaven. So the Lord is raining fire down
[2089] 1:53:16	while calling it from the Lord out of
[2090] 1:53:18	heaven. So, so yeah, I can I could see
[2091] 1:53:22	how this this could line up with a with
[2092] 1:53:24	a two powers theology
[2093] 1:53:26	and as a result uh plurality of the
[2094] 1:53:29	godhead. Yeah, I could see it. Okay,
[2095] 1:53:32	thank you very much for the super chat.
[2096] 1:53:34	Very much appreciated. Hope it helps.
[2097] 1:53:37	Okay, let's go on the next one here.
[2098] 1:53:46	Next super chat here is from BC4YT
[2099] 1:53:50	for $5 strand. Thank you for the super
[2100] 1:53:52	chat.
[2101] 1:53:54	Did ancient Israel have any semblance of
[2102] 1:53:56	a police force? How was general order
[2103] 1:54:00	kept if not?
[2104] 1:54:02	It didn't really have a police force.
[2105] 1:54:05	Now it did have guards.
[2106] 1:54:08	Um we do know that both the palace and
[2107] 1:54:12	the temple had had regiments of guards.
[2108] 1:54:15	Okay, that's probably as close to a
[2109] 1:54:18	police force as they came.
[2110] 1:54:21	Uh,
[2111] 1:54:22	places outside of Jerusalem were
[2112] 1:54:25	expected to
[2113] 1:54:28	to monitor their own uh justice system
[2114] 1:54:31	as such.
[2115] 1:54:34	So, it didn't have any sort of police
[2116] 1:54:35	force um like you'd say find in Egypt.
[2117] 1:54:38	Egypt had a police force. That's what
[2118] 1:54:40	the magi were. The magi were the police.
[2119] 1:54:46	Israel didn't really have a police
[2120] 1:54:47	force.
[2121] 1:54:49	It was called upon the local elders to
[2122] 1:54:51	administer justice and to to take action
[2123] 1:54:55	against say
[2124] 1:54:57	dark. Your clan is your police. Pretty
[2125] 1:54:59	much, you know, that's that's pretty
[2126] 1:55:02	much it.
[2127] 1:55:04	Yeah. Your clan is your police.
[2128] 1:55:07	That's that's really how it worked.
[2129] 1:55:11	Your clan chiefs.
[2130] 1:55:13	Yeah, your clan chiefs
[2131] 1:55:19	CPM versus us. So, no ancient Egypt cop
[2132] 1:55:22	show. Dang. Hey, ancient Egypt, the
[2133] 1:55:25	Egyptians had a police force. They had
[2134] 1:55:27	police. They were called magi.
[2135] 1:55:31	Magi, you know, were were natives of
[2136] 1:55:35	Kush
[2137] 1:55:37	and Yes. CSI Magi. Yeah, pretty much.
[2138] 1:55:42	>> [laughter]
[2139] 1:55:44	>> uh the magi after say um after the
[2140] 1:55:48	driving driving out of the Hixos at the
[2141] 1:55:50	end of the 17th dynasty
[2142] 1:55:52	um Akmosa rewarded the magi by putting
[2143] 1:55:56	them into positions of responsibility
[2144] 1:55:59	all over Egypt. So the magi became
[2145] 1:56:02	guards, police, community leaders. They
[2146] 1:56:06	they were given and everyone trusted
[2147] 1:56:08	them.
[2148] 1:56:10	Boy, well, that was an that was a
[2149] 1:56:14	>> both sides trust
[2150] 1:56:16	paycheck.
[2151] 1:56:18	>> Yeah, if you if both sides trust you,
[2152] 1:56:19	you can get your paycheck from both
[2153] 1:56:21	sides.
[2154] 1:56:22	>> They did the border.
[2155] 1:56:24	>> Oh, yeah, they did. Yeah, they did
[2156] 1:56:27	effectively keep the border by never
[2157] 1:56:28	fighting each other.
[2158] 1:56:31	>> Yeah. So, uh
[2159] 1:56:35	winning strategy.
[2160] 1:56:37	>> Yeah. Everyone wins.
[2161] 1:56:46	Yeah. Uh Ryan says, "Magi is different
[2162] 1:56:49	ethmologically than magi, right?" Yes.
[2163] 1:56:52	Yes, they're different ethmologically.
[2164] 1:56:56	Yeah, they're not the same.
[2165] 1:56:58	Not the same at all.
[2166] 1:57:05	BCY BC4YT trustable until they steal
[2167] 1:57:09	your ox cart.
[2168] 1:57:14	Uh yeah, well we won't go into how into
[2169] 1:57:17	who stole the ox cart. [laughter]
[2170] 1:57:24	Grand Theft Ox cart.
[2171] 1:57:29	>> [laughter]
[2172] 1:57:33	>> Yes. Um [laughter]
[2173] 1:57:37	go. Those were good times. Good times.
[2174] 1:57:40	[laughter] Never have me ride a ox cart.
[2175] 1:57:43	Never. Never allow me near an ox cart.
[2176] 1:57:50	>> [laughter]
[2177] 1:57:51	>> See
[2178] 1:57:55	[laughter]
[2179] 1:57:58	that?
[2180] 1:58:00	>> Yes. CSI magi. Yep. [laughter]
[2181] 1:58:07	NCIS tannis.
[2182] 1:58:09	[laughter]
[2183] 1:58:16	That would be fun.
[2184] 1:58:18	Oh my gosh.
[2185] 1:58:27	Yeah. Now Mrs. Producer wants to do a uh
[2186] 1:58:30	a movie short on uh NCIS Tannis.
[2187] 1:58:35	Oh boy.
[2188] 1:58:40	Okay.
[2189] 1:58:42	So, uh the uh ancient Israel did not
[2190] 1:58:45	have a police force.
[2191] 1:58:47	um order was kept by the clans. In the
[2192] 1:58:50	big cities, you did have some guards.
[2193] 1:58:53	Okay, so that's typically how that
[2194] 1:58:54	worked.
[2195] 1:58:57	Okay,
[2196] 1:59:01	next one is BC4YT for $5 Australian.
[2197] 1:59:04	Thank you for the super chat.
[2198] 1:59:06	I had an atheist argue against Jesus
[2199] 1:59:08	being Messiah because the Jews properly
[2200] 1:59:11	understood their scriptures and didn't
[2201] 1:59:13	recognize him as such thoughts.
[2202] 1:59:16	Um
