[0] 0:00	a [Music]
[1098] 2:08:04	lilac uh they pack uh yellow orange red green they had um Brown pepper now this
[1099] 2:08:13	one was really interesting the um the brown pepper was
[1100] 2:08:19	really weird on and it was it never remade any sore and I still haven't seen
[1101] 2:08:24	it in stores these peppers are so unique and
[1102] 2:08:30	special that they would be just packaged by hand and then basically sold off to
[1103] 2:08:38	Boutique restaurants the restaurants got these right off the top they never made it to say commercial
[1104] 2:08:47	vendors um and they would only get like three boxes of these Brown pepper a year
[1105] 2:08:53	so they were very rare but what was made what made these so so special was they
[1106] 2:08:58	were sweet incredibly sweet they tasted like
[1107] 2:09:03	honey not like any pepper you've ever tasted you know the orange Peppers you get a good ripe orange pepper and it's
[1108] 2:09:09	sweeter than the other peppers but the brown pepper was another level of sweetness
[1109] 2:09:16	again so so I mean it was it was crazy cuz it didn't look like much I mean it looked
[1110] 2:09:22	kind of like a chocolatey pepper but it tasted like honey it's very I only got
[1111] 2:09:27	to try it once because one got crushed you know when it when when
[1112] 2:09:33	pepper got crushed you couldn't put it into the packing but so we got to try it and it was something really
[1113] 2:09:41	unique it's very unique um I think you can find the seeds
[1114] 2:09:47	on some Legacy um um um seed sites but
[1115] 2:09:53	they're hard to get really hard to get dosman I need to find this pepper now
[1116] 2:09:58	good luck good luck and if you do find it you're going to pay for
[1117] 2:10:08	it um dosman says I'm GNA win the chili cook off now I have won a chili cook
[1118] 2:10:16	off I have one a chili cook off and we had some unique recipes that
[1119] 2:10:21	we entered into the chili cook off um we had a green chili that won our first
[1120] 2:10:28	prize we also had a sweet Lobster chili that did very well as as well
[1121] 2:10:37	so dosman of course you've won a chili cook
[1122] 2:10:44	[Laughter]
[1123] 2:10:50	off yeah yeah well but again that's engaging the
[1124] 2:10:55	culture yeah again it's engaging the culture you're just engaging it
[1125] 2:11:07	culinarily it was Lobster yeah yeah that that orange chili was um it contained
[1126] 2:11:16	Lobster guava pineapple um
[1127] 2:11:23	habanero um and orange bell
[1128] 2:11:29	pepper yeah it was yeah that was the only time I ever tried habanero and that was just like oh
[1129] 2:11:36	oh I paid the price for that um because I would I would try to I taste every ingredient just to see if it was you
[1130] 2:11:43	know um you know how it would taste so I had this
[1131] 2:11:49	little slice of habanero tasted it and I regretted life I hated life
[1132] 2:11:56	whooo whoo yeah
[1133] 2:12:02	lava yeah never never never just try a straight orange habanero it's just you
[1134] 2:12:07	will pay a price for that yeah
[1135] 2:12:16	ouch yeah it was K's right here it was technically a chili and and it would
[1136] 2:12:22	pass Texas standards at chili with no fillers now what we' probably do now is
[1137] 2:12:30	if we ever made that recipe again we'd probably use monkfish because monkfish is a lot less expensive and um tastes
[1138] 2:12:37	very similar to to Lobster but um yeah it was good it was
[1139] 2:12:42	it was tasty it was really tasty it was really good but um it was definitely different
[1140] 2:12:50	as I said as as Ki said it was more of a dessert chili they didn't know what yeah they
[1141] 2:12:58	didn't know what how to how to actually categorize it because they' never seen anything like it but we liked it it was unique it was
[1142] 2:13:06	very unique okay so there you go mama there's some more stuff to add to the uh uh
[1143] 2:13:14	David of course he did lore
[1144] 2:13:26	uh jackary says by the way I think that brown pepper was chocolate Beauty bell peppers from what I'm reading oh could
[1145] 2:13:32	be yeah could be I don't know the exact name we just called them Brown
[1146] 2:13:42	Peppers okay uh answering L is for 199 thank you for the Super Chat uh Steelman
[1147] 2:13:48	King Josiah authoring the Old Testament I wouldn't
[1148] 2:13:54	um I don't think there's any evidence of that now there's there's a case of
[1149] 2:14:01	um of um there's one instance where instance in the uh book of Kings where
[1150] 2:14:08	it mentions King Josiah finding a a Torah scroll in the
[1151] 2:14:15	temple and I and I've heard people say especially critical Scholars say well this is this is just a cover story this
[1152] 2:14:23	is just a cover story for Josiah authoring
[1153] 2:14:30	Torah because Torah could not have been written early because of the documentary
[1154] 2:14:38	hypothesis what huh you're joking me
[1155] 2:14:45	right you serious
[1156] 2:14:51	[Laughter] yeah it's
[1157] 2:14:57	like you know it just you can't make the claim it's just
[1158] 2:15:04	bizarre especially since we have evidence of T at the time of Josiah anyway it's just like
[1159] 2:15:10	what um oh boy oh boy yeah
[1160] 2:15:17	h no I I'm not gonna steal man that because it's it's a ridiculous Theory I
[1161] 2:15:23	I don't think I don't think it holds up uh there's limits to what you could steal man really and um I think I think
[1162] 2:15:31	that's one of those things about steel Manning a theory is there's there's sort of credible limits to which you can do
[1163] 2:15:37	any of that and there there comes to a point where just have to yeah you just
[1164] 2:15:43	have to snort your coffee because it's just like h
[1165] 2:15:51	I mean come on this is a temple you know the Temple of the Lord is a
[1166] 2:15:58	temple temples had texts all temples had
[1167] 2:16:06	texts at least major temples and the Temple of the Lord was an major Temple
[1168] 2:16:12	you know there's I mean the temples of Egypt all had libraries they had text you had the
[1169] 2:16:18	lecture priests with texts because Texs are part of Temple
[1170] 2:16:25	ritual you can't get around it so the idea that there was no Old Testament
[1171] 2:16:31	prior to Josiah and all of a sudden they so oh we need a text for our Temple yeah
[1172] 2:16:38	sure it's been standing here for 200 years but none of us thought to to do a text for our Temple even though every
[1173] 2:16:45	temple in the area has had text for hundreds of years prior
[1174] 2:16:52	get real good
[1175] 2:16:58	grief yeah yeah I mean religion as as my
[1176] 2:17:04	producers said here religion is an activity of the literate it's not it's not a a religion
[1177] 2:17:12	of the illiterate despite what the atheists want to say
[1178] 2:17:23	so yeah I I I'm not buying that for a moment and you you can't can't you can't
[1179] 2:17:30	even make a good Steelman for it because it doesn't even make any
[1180] 2:17:36	sense okay so moving
[1181] 2:17:41	on justtin R for 49 thank you for the uh Super Chat he says how do you feel do
[1182] 2:17:48	you feel there are parallels between modern cultural Christianity and pre- Exile Judaism in terms of failing to to
[1183] 2:17:56	actually live out the faith um no not so much um okay I I do think
[1184] 2:18:06	there's there's parallels with Mod uh with between modern cultural
[1185] 2:18:11	Christianity and the Christianity of the past okay um but prexil Judaism would
[1186] 2:18:17	not be where I would slot it um
[1187] 2:18:44	pre-exilic Judaism you know you'd have ball worship you'd have some auton worship there you have now maybe some
[1188] 2:18:52	liberal churches fall into that category but I would say modern mainstream
[1189] 2:18:57	Christianity generally doesn't go that far
[1190] 2:19:03	uh where I think say modern Christianity is more akin to is say early Roman
[1191] 2:19:12	Christianity where the vast majority of Christians
[1192] 2:19:18	don't really understand the faith yet I think we've sort of regressed to say
[1193] 2:19:25	that early Roman Christianity and I mean really early I mean like first second
[1194] 2:19:30	century where you've got a few people who are standing firm for the faith who are very well educated in the faith and
[1195] 2:19:37	then you've got everywhere everyone else who is culturally Roman they're
[1196] 2:19:43	culturally Roman yeah they may be hanging around the church but they don't know anything about Christianity at all
[1197] 2:19:51	that's how I that's the cultural parallel I see with modern cultural Christianity is it's more akin to Roman
