[0] 0:47	Heat. Heat. N.
[1710] 1:30:45	All right. Next one here is from AT
[1711] 1:30:48	Ministries for $2. Thank you for the
[1712] 1:30:49	super chat. First Kings 9:14. Why did
[1713] 1:30:53	Hyram pay Solomon?
[1714] 1:30:56	Okay, let's go to First Kings.
[1715] 1:31:01	First Kings
[1716] 1:31:03	nine
[1717] 1:31:06	14.
[1718] 1:31:08	Okay.
[1719] 1:31:11	Uh
[1720] 1:31:13	uh let's start at verse 12 here. So
[1721] 1:31:14	Hyram came out from Ty to see the cities
[1722] 1:31:16	which Solomon had given him and they did
[1723] 1:31:19	not please him. And he said, "What are
[1724] 1:31:22	these cities which you have given me, my
[1725] 1:31:23	brother?" So they were called the land
[1726] 1:31:26	of Kabul to this day. And Hyram sent the
[1727] 1:31:29	king 120 talons of gold.
[1728] 1:31:33	Okay. So why did Hyram pay Solomon
[1729] 1:31:37	to trade through his land? That's
[1730] 1:31:38	essentially what it is. Um
[1731] 1:31:42	this is this is what's called a a
[1732] 1:31:45	upfront fee for free access.
[1733] 1:31:49	So Hyram pays Solomon 120 talents of
[1734] 1:31:52	gold and in exchange Hyram can trade his
[1735] 1:31:56	his his basically his resources which
[1736] 1:31:59	are cedars all the way down to Egypt.
[1737] 1:32:02	That's the reason so he can pass by
[1738] 1:32:06	Solomon's lands without being harassed.
[1739] 1:32:09	So that's the reason that's the reason
[1740] 1:32:12	he pays Solomon. It's why everyone pays
[1741] 1:32:15	Solomon.
[1742] 1:32:17	It's a toll. Yeah, it's a toll.
[1743] 1:32:20	Yeah, the dark place is kind of a
[1744] 1:32:22	transit tax. It's exactly what it is.
[1745] 1:32:25	>> Tariff,
[1746] 1:32:26	>> it's a tariff.
[1747] 1:32:29	It's a tariff.
[1748] 1:32:34	You want your goods to pass through
[1749] 1:32:36	Solomon's land, you got to pay Solomon.
[1750] 1:32:39	That's what this is.
[1751] 1:32:41	uh because Solomon had complete control
[1752] 1:32:43	of the fertile uh crescent from east to
[1753] 1:32:47	west. Anyone who wants to trade with
[1754] 1:32:49	Egypt or from Egypt to Mesopotamia has
[1755] 1:32:52	to go through his his territory.
[1756] 1:32:54	Uh because it's easier to go through his
[1757] 1:32:56	territory than it is to go do the whole
[1758] 1:32:59	circle around the Mediterranean.
[1759] 1:33:05	So,
[1760] 1:33:07	but that's what I would that's that's
[1761] 1:33:09	really the source here. So, yeah.
[1762] 1:33:12	Okay, next one here
[1763] 1:33:19	is from
[1764] 1:33:21	18 ministries here for $2. Thank you the
[1765] 1:33:23	super chat. First Kings 9:16. Do we know
[1766] 1:33:27	which king took Gzer?
[1767] 1:33:30	Okay,
[1768] 1:33:31	so uh
[1769] 1:33:34	first Kings 9:16. Okay.
[1770] 1:33:39	For the Pharaoh uh king of Egypt had
[1771] 1:33:41	gone up and captured Gzer and burned it
[1772] 1:33:43	with fire and killed the Canaanites who
[1773] 1:33:45	lived in the city. And he gave it as a
[1774] 1:33:48	dar to his daughter Solomon uh daughter
[1775] 1:33:51	Solomon's wife. Okay.
[1776] 1:33:55	In most likelihood, this is Siamun.
[1777] 1:33:58	Um
[1778] 1:34:00	this is the most likely pharaoh at the
[1779] 1:34:04	time of um of Solomon.
[1780] 1:34:09	Uh he's the second to last king of
[1781] 1:34:11	dynasty 21.
[1782] 1:34:14	He reigns uh 19 years and is
[1783] 1:34:18	contemporary
[1784] 1:34:20	with the um with the early years of of
[1785] 1:34:23	Solomon.
[1786] 1:34:26	And frankly,
[1787] 1:34:28	uh, the kingdom of Egypt at this time
[1788] 1:34:31	was in pretty poor state. So,
[1789] 1:34:36	uh, yeah. Uh, it wouldn't have been
[1790] 1:34:40	taken much to to take out Gzer at this
[1791] 1:34:43	point.
[1792] 1:34:48	That's interesting. We got bats out
[1793] 1:34:49	there screaming.
[1794] 1:34:53	Lovely.
[1795] 1:35:00	Okay. So,
[1796] 1:35:02	um
[1797] 1:35:04	I hope that helps. Thank you for the
[1798] 1:35:06	super chat. Uh but it's most likely
[1799] 1:35:07	Seamoon. That's that's most the most
[1800] 1:35:09	likely Pharaoh at this time.
[1801] 1:35:16	Uh First Kings 9:21. More evidence of
[1802] 1:35:19	the beginning of Kings was written prior
[1803] 1:35:21	to the Babylonian exile. Um
[1804] 1:35:26	verse 21 says uh their descendants who
[1805] 1:35:28	were left after them in the land whom
[1806] 1:35:32	sons of Israel were unable to destroy
[1807] 1:35:33	utterly from the day of Solomon forcly
[1808] 1:35:35	even to this day. All this is is um no
[1809] 1:35:38	it's not um it's not evidence that the
[1810] 1:35:39	beginning of kings was written prior to
[1811] 1:35:41	this. It's that what they're citing,
[1812] 1:35:44	what the compiler of kings is citing,
[1813] 1:35:48	the source documents
[1814] 1:35:50	predate the Babylonian exile. Okay? So
[1815] 1:35:53	we got to be very careful here that we
[1816] 1:35:55	we we keep in mind that
[1817] 1:36:00	citation
[1818] 1:36:02	and compilation are two different
[1819] 1:36:04	processes. Okay.
[1820] 1:36:07	So the first you when when and the book
[1821] 1:36:10	of kings is a is a compiled document.
[1822] 1:36:14	It's compiled from many sources and
[1823] 1:36:16	those sources were basically sources
[1824] 1:36:19	that the Israelites brought from Israel
[1825] 1:36:21	when they were exiled to Babylon. So
[1826] 1:36:24	they're bringing all these these these
[1827] 1:36:25	scrolls with them and they're sort of
[1828] 1:36:28	compiling it all down. They're copying
[1829] 1:36:30	the the best bits down into Kings and
[1830] 1:36:33	Chronicles.
[1831] 1:36:35	So, um, so they're copying it. So, we're
[1832] 1:36:39	going to see references that seem
[1833] 1:36:41	pre-exilic, but we're also going to see
[1834] 1:36:43	some references that are post exilic,
[1835] 1:36:45	too, in Kings.
[1836] 1:36:48	So that's that's why I think that it's
[1837] 1:36:52	um
[1838] 1:36:54	um that's why it's very important to
[1839] 1:36:56	sort of keep that in mind that when you
[1840] 1:36:59	see something like this in say the book
[1841] 1:37:02	of Kings to not mistake that that's the
[1842] 1:37:05	whole book of Kings or in the beginning
[1843] 1:37:07	of the Kings was written prior to the
[1844] 1:37:09	Babylonian exile. parts of it were all
[1845] 1:37:12	the way through,
[1846] 1:37:15	but at the same time too, those parts
[1847] 1:37:18	are being recopied into the book of
[1848] 1:37:20	Kings and they're going to copy it
[1849] 1:37:23	verbatim. Okay? They're not going to
[1850] 1:37:25	they're not going to do many tweaks to
[1851] 1:37:27	the text to do that. So, just keep that
[1852] 1:37:29	in mind as you read this. If you count
[1853] 1:37:32	something that sounds like it's
[1854] 1:37:33	pre-exilic
[1855] 1:37:34	that
[1856] 1:37:37	that it's it the original document may
[1857] 1:37:40	be pre-exilic and it probably is
[1858] 1:37:43	pre-exilic but its copying is not
[1859] 1:37:46	pre-exilic. It's post exel.
[1860] 1:38:03	Okay.
[1861] 1:38:18	Uh, next one here
[1862] 1:38:24	is from 18 ministries for $2. First
[1863] 1:38:27	Kings 9:24. What's Milo? Okay, excellent
[1864] 1:38:31	question.
[1865] 1:38:34	All right, as soon as we'll read the
[1866] 1:38:36	text here and
[1867] 1:38:40	uh, Mr. Producer, can you do me a favor?
[1868] 1:38:43	Uh, can you check if Tao Chong's uh
[1869] 1:38:46	question at 9:40 is a is a duplicate?
[1870] 1:38:50	I think it's a duplicate, but I just
[1871] 1:38:52	want to make sure.
[1872] 1:38:58	Okay, so first Kings 9:24, it reads, "As
[1873] 1:39:01	soon as Pharaoh's daughter came up from
[1874] 1:39:03	the city of David to her house, which
[1875] 1:39:05	Solomon had built for her, then he built
[1876] 1:39:08	the Milo." All right. Now, what's the
[1877] 1:39:10	Milo?
[1878] 1:39:11	The Milo
[1879] 1:39:13	is a defensive wall. It's a defensive
[1880] 1:39:17	wall. Now,
[1881] 1:39:20	uh we don't know exactly where the Milo
[1882] 1:39:22	is. Um it's a def but it is a defensive
[1883] 1:39:26	wall. There's a defensive wall that runs
[1884] 1:39:29	uh east to west um that's sort of
[1885] 1:39:33	parallel to the temple in the northern
[1886] 1:39:36	area of Jerusalem. Um that's some that's
[1887] 1:39:39	what's called a traditional milo.
[1888] 1:39:42	But um El Mazar made the argument that
[1889] 1:39:46	there was also a defensive wall amo
[1890] 1:39:50	that is by the um uh by the um palace of
[1891] 1:39:56	uh Solomon uh the in the city of David.
[1892] 1:40:01	Okay. So and and she's made a pretty
[1893] 1:40:03	compelling case for that.
[1894] 1:40:06	So,
[1895] 1:40:07	um
[1896] 1:40:10	uh so we we um
[1897] 1:40:15	um so there is there is some question as
[1898] 1:40:18	to where the Milo actually is, but I'm
[1899] 1:40:21	sort of leaning towards u Mazar's case
[1900] 1:40:25	here. But that's what the Milo is. It's
[1901] 1:40:27	a defensive wall. It's a defensive wall
[1902] 1:40:29	that's sort of built up to defend
[1903] 1:40:32	against outside invaders. So, I hope
[1904] 1:40:34	that helps. Thank you for the super
[1905] 1:40:36	chat. Really appreciate it.
[1906] 1:40:44	Okay, we'll take the that one next.
[1907] 1:40:49	Um,
[1908] 1:40:51	next one here. It's going to be from
[1909] 1:40:56	Aloo Sandville for 199. Thank you for
[1910] 1:40:59	the super chat. Did Samson carry the
[1911] 1:41:02	door? Judges 16:3. Let's take a look.
[1912] 1:41:10	Judges
[1913] 1:41:12	16
[1914] 1:41:14	verse three. Now Samson lay until
[1915] 1:41:16	midnight. At midnight he arose. He took
[1916] 1:41:19	hold of the doors of the gate city and
[1917] 1:41:21	the two posts and pulled them along with
[1918] 1:41:24	the bars. And he put them on his
[1919] 1:41:26	shoulders and carried them up to the top
[1920] 1:41:28	of the mountain which is opposite
[1921] 1:41:30	Hebron.
[1922] 1:41:32	Uh,
[1923] 1:41:34	well, could have. Yeah, sure.
[1924] 1:41:38	I mean, he's strong enough to do it.
[1925] 1:41:41	He's strong enough to do it. So, yeah.
[1926] 1:41:43	Um, I would say that this is likely. So,
[1927] 1:41:46	he basically took the doors, ripped them
[1928] 1:41:49	off the off the city gate and and pulled
[1929] 1:41:52	them along with the bars up to the top
[1930] 1:41:55	of the mountain, which is opposite
[1931] 1:41:56	Hebron. Yeah, I would say the the text
[1932] 1:42:00	seems to infer this. So, yeah, I'm going
[1933] 1:42:03	with it. Hope that helps. Thank you for
[1934] 1:42:06	the super chat.
[1935] 1:42:10	Okay, next one here.
[1936] 1:42:18	Sandival says, "But when the doors weigh
[1937] 1:42:20	tons,"
[1938] 1:42:22	um, not necessarily.
[1939] 1:42:25	Well, not necessarily. I mean, they're
[1940] 1:42:26	not I mean,
[1941] 1:42:29	if you look at most gates, they're not
[1942] 1:42:31	that big. I mean, really, I mean, we
[1943] 1:42:34	have to understand that
[1944] 1:42:36	gates are
[1945] 1:42:39	are meant to be narrow.
[1946] 1:42:41	Okay? They're defensive fortifications.
[1947] 1:42:44	The gate to a city is a defensive
[1948] 1:42:46	fortification. It's meant to be narrow.
[1949] 1:42:50	Okay? Uh we do have some examples of
[1950] 1:42:52	temple doors from Egypt and they're not
[1951] 1:42:55	that they're not that wide. I mean
[1952] 1:42:57	really they're like I'd say about 2 feet
[1953] 1:43:01	wide.
[1954] 1:43:03	Okay. They're tall. I mean they tend to
[1955] 1:43:05	be quite tall. You know usually 8 10
[1956] 1:43:08	feet tall but they they're not that
[1957] 1:43:10	wide.
[1958] 1:43:12	So they generally are not
[1959] 1:43:16	uh wouldn't weigh tons.
[1960] 1:43:19	Um, I mean, Samson was known for his
[1961] 1:43:22	strength anyway, you know, strong enough
[1962] 1:43:25	to to topple pillars. Okay. So, so for
[1963] 1:43:30	him to carry two doors and the crossbar
[1964] 1:43:34	probably is not going to equal tons um
[1965] 1:43:39	hundreds of pounds. Sure. Hundreds of
[1966] 1:43:42	pounds easily. Tons probably not. It's
[1967] 1:43:45	probably way too much. And again, these
[1968] 1:43:47	are wood doors, so probably again not
[1969] 1:43:50	that heavy. So,
[1970] 1:43:54	okay,
[1971] 1:43:58	a dark blade. Thanks for providing the
[1972] 1:44:01	re measurement in feet instead of the
[1973] 1:44:03	French Revolution cringe units.
[1974] 1:44:07	Hey, I use meters.
[1975] 1:44:17	All right, next one here
[1976] 1:44:24	is first kings 10:14. Is that much gold
[1977] 1:44:27	even possible?
[1978] 1:44:29	Okay, first kings.
[1979] 1:44:32	Back to first kings
[1980] 1:44:35	10
[1981] 1:44:37	14.
[1982] 1:44:39	Now the weight of the gold which came to
[1983] 1:44:41	Solomon in one year was 666 talants of
[1984] 1:44:44	gold. By the way, this is a a really
[1985] 1:44:47	interesting verse. This is the only
[1986] 1:44:49	verse outside of the book of Revelation
[1987] 1:44:53	that makes reference to the 666.
[1988] 1:44:55	Okay, this is where it comes from.
[1989] 1:44:59	This is exactly the verse where 666
[1990] 1:45:02	comes from. And this is the meaning of
[1991] 1:45:05	this is the number of a man. And it's it
[1992] 1:45:08	is 666. Okay. And and when you
[1993] 1:45:12	understand this, you get now where why
[1994] 1:45:17	this is so important to the
[1995] 1:45:18	identification of the beast or the
[1996] 1:45:20	antichrist. Okay. But let's first of all
[1997] 1:45:24	let's ask is that much much gold even
[1998] 1:45:27	possible?
[1999] 1:45:29	Well, there was a lot of gold. People
[2000] 1:45:31	did collect gold for thousands of years
[2001] 1:45:34	prior to this point. So see how much are
[2002] 1:45:37	we talking about here? We are talking
[2003] 1:45:41	talent
[2004] 1:45:42	weight
[2005] 1:45:45	is
[2006] 1:45:46	okay 60 80 pounds. So let's just say
[2007] 1:45:51	70 for good good measure. Okay. So so we
[2008] 1:45:55	got 70.
[2009] 1:45:59	How many troy ounces per pound?
[2010] 1:46:03	try ounce
[2011] 1:46:06	to pound
[2012] 1:46:11	is um so let's say we got 70 lb so we
[2013] 1:46:16	have 1,20
[2014] 1:46:18	ounces per pound per 70 lb
[2015] 1:46:23	so
[2016] 1:46:25	666
[2017] 1:46:28	times 1020
[2018] 1:46:32	that is 600,000 oz.
[2019] 1:46:36	So,
[2020] 1:46:38	is 620,000
[2021] 1:46:41	O
[2022] 1:46:42	is that possible?
[2023] 1:46:45	Um,
[2024] 1:46:47	well, let's let's take a look at some of
[2025] 1:46:49	the something other that's gold that we
[2026] 1:46:52	know about, which is the uh sarcophagus
[2027] 1:46:55	of King Tut.
[2028] 1:46:59	weight of the
[2029] 1:47:03	gold
[2030] 1:47:04	sarcophagus
[2031] 1:47:06	of
[2032] 1:47:09	King Tutt.
[2033] 1:47:12	Okay, it is 243
[2034] 1:47:16	pounds.
[2035] 1:47:18	Okay, so
[2036] 1:47:21	that's the innermost one. Okay, just the
[2037] 1:47:23	innermost one. That's not counting the
[2038] 1:47:26	other ones.
[2039] 1:47:28	So we have in that one
[2040] 1:47:32	243
[2041] 1:47:35	times,000
[2042] 1:47:40	20
[2043] 1:47:42	is we've got um sorry
[2044] 1:47:46	um
[2045] 1:47:53	ounces
[2046] 1:47:56	per pound.
[2047] 1:48:03	This is per pound.
[2048] 1:48:09	243. We got 3500
[2049] 1:48:14	ounces there. Okay.
[2050] 1:48:20	Oh, yeah. The the inner coffin of of
[2051] 1:48:22	King Tut was solid gold. I mean it was
[2052] 1:48:25	243 pounds of gold.
[2053] 1:48:29	Okay. So,
[2054] 1:48:34	so we got um
[2055] 1:48:39	so so a talent is 70 lb.
[2056] 1:48:43	So let's see here. 200 243
[2057] 1:48:47	divided by 70.
[2058] 1:48:50	Oops. Sorry. Is
[2059] 1:48:55	so we got three three talents just in
[2060] 1:48:57	the tomb uh sorry just in the inner
[2061] 1:48:59	sarcophagus of King Tutt.
[2062] 1:49:02	Now there's it's one of five gold
[2063] 1:49:06	coffins.
[2064] 1:49:08	Okay.
[2065] 1:49:10	So, we're probably talking about roughly
[2066] 1:49:16	50 60 um ounce uh 60 talents just in the
[2067] 1:49:21	coffins of King Tut.
[2068] 1:49:24	So,
[2069] 1:49:26	is 666 talents possible?
[2070] 1:49:30	Yeah, sure. I think
[2071] 1:49:33	um we aren't even we aren't even talking
[2072] 1:49:35	about other ritual furniture of King
[2073] 1:49:37	Tut, not even the whole whole set of
[2074] 1:49:40	jewelry. So, and frankly um there was a
[2075] 1:49:45	lot of of stuff. How much gold is in how
[2076] 1:49:49	much gold
[2077] 1:49:52	was in the tomb?
[2078] 1:49:55	What to in common?
[2079] 1:50:02	Uh, we don't even have a figure for it.
[2080] 1:50:05	There's so much. There was so much gold
[2081] 1:50:07	in that that we don't even know
